Name,URL,Address,ZIP
奥土湯 川上温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fk053,福島県福島市土湯温泉町字川上7,960-2157
新野地温泉 相模屋旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fs056,福島県福島市土湯温泉町野地2,960-2157
幕川温泉 吉倉屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fy065,福島県福島市土湯温泉町鷲倉山1-10,960-2157
幕川温泉 水戸屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fm062,福島県福島市土湯温泉町字鷲倉山1-3,960-2157
赤湯温泉 好山荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fk055,福島県福島市土湯温泉町字鷲倉1,960-2157
鷲倉温泉 鷲倉温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fw072,福島県福島市土湯温泉町字鷲倉山1,960-2157
中の沢温泉 御宿万葉亭,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fo197,福島県耶麻郡猪苗代町蚕養沼尻山甲2855-166,969-2752
表磐梯押立温泉 住吉館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fs057,福島県耶麻郡猪苗代町大字磐根字佐賀地2556,969-3286
大塩裏磐梯温泉 旅館米澤屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fr071,福島県耶麻郡北塩原村大字大塩字大塩4447,966-0402
日中温泉 ゆもとや,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fy063,福島県喜多方市熱塩加納町熱塩字大畑29番地,966-0101
芦ノ牧温泉 仙峡閣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fs058,福島県会津若松大戸町上小塩遅谷3084-3,969-5132
二岐温泉 大丸あすなろ荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fd059,福島県岩瀬郡天栄村湯本字下二俣5,962-0621
甲子温泉 旅館大黒屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fr067,福島県西白河郡西郷村真船字寺平1,961-8071
会津西山温泉 滝の湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ft060,福島県河沼郡柳津町砂子原長坂829,969-7321
玉梨八町温泉 恵比寿屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fe051,福島県大沼郡金山町大字玉梨字横井戸2786-1,968-0014
湯の花温泉 旅館末廣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fr066,福島県南会津郡南会津町湯ノ花240,967-0333
木賊温泉 井筒屋,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fi050,福島県南会津郡南会津町宮里字湯坂1988,967-0347
檜枝岐温泉 旅館ひのえまた,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fr070,福島県南会津郡檜枝岐村字居平705,967-0521
檜枝岐温泉 かぎや旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fk052,福島県南会津郡檜枝岐村字居平679,967-0521
白鳥山温泉 喜楽苑,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=fk054,福島県いわき市常磐白鳥町勝丘119,972-8325
大丸温泉 大丸温泉旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=to075,栃木県那須郡那須町湯本269,325-0301
奥塩原温泉 渓雲閣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=tk078,栃木県那須塩原市湯本塩原37,329-2922
塩原元湯温泉 大出館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=to074,栃木県那須塩原市湯本塩原102番地,329-2922
奥湯西川温泉 平の高房,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=tt080,栃木県日光市湯西川1483,321-2601
奥鬼怒温泉 八丁湯,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=th081,栃木県日光市川俣876,321-2717
平家平温泉 御宿 こまゆみの里,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=to076,栃木県日光市川俣646-1,321-2717
川俣温泉 川俣 一柳閣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=tk077,栃木県日光市川俣40-3,321-2717
湯の澤鉱泉 湯の澤鉱泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=iy073,茨城県常陸大宮市山方4849,319-3111
出湯温泉 清廣館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=ns186,新潟県阿賀野市出湯802,959-1926
越後長野温泉 嵐渓荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nr112,新潟県三条市長野1450,955-0132
栃尾又温泉 自在館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nz109,新潟県魚沼市栃尾又温泉,946-0087
大沢山温泉 大沢館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=no103,新潟県南魚沼市大沢1170,949-6361
貝掛温泉 貝掛温泉,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk104,新潟県新潟県　南魚沼郡　湯沢町三俣686,949-6211
清津峡湯元温泉 清津館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk107,新潟県十日町市小出癸2126番地1,949-8433
松之山温泉 凌雲閣,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nr114,新潟県十日町市松之山天水越81番地,942-1435
燕温泉 樺太館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nk105,新潟県妙高市大字関山6087,949-2235
笹倉温泉 龍雲荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=nr113,新潟県糸魚川市大字大平5804,949-1221
法師温泉 法師温泉長寿館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gh093,群馬県利根郡みなかみ町永井650番地,379-1401
尾瀬かまた宿温泉 梅田屋旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gu082,群馬県利根郡片品村大字鎌田4073,378-0415
鹿沢温泉 紅葉館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gk086,群馬県吾妻郡嬬恋村田代681,377-1614
川中温泉 かど半旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gk083,群馬県吾妻郡東吾妻町大字松谷2432,377-0814
たんげ温泉 美郷館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gm095,群馬県吾妻郡中之条町大字上沢渡1521-2,377-0541
沢渡温泉 まるほん旅館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gm094,群馬県吾妻郡中之条町大字上沢渡甲2301,377-0541
滝沢温泉 滝沢館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gt091,群馬県前橋市粕川町室沢字滝沢241,371-0202
下仁田温泉 清流荘,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gs089,群馬県甘楽郡下仁田町吉崎769,370-2604
八塩温泉 神水館,https://www.hitou.or.jp/hymbrrsv/hymbr_pg01.html?yc=gs088,群馬県藤岡市浄法寺6番地,370-1406
